date	mission	device_type	device_status	hash
120725115905	TMRS	vehicle	faulty	be0911bb82f435ac1f35efddeca3af29e7750fb75ac40272509133b67860295c
120725115905	TMRS	ship	good	9610b2ef37eed2f7fb89f96bac71ad17ad419dff34c497e204a0c39c57f1a1e4
120725115905	CLNM	spacesuit	warning	3e05c4efde60cb8563382a08e0106f06de771e3aa5872b0479f2aa8b29a3b4fc
120725115905	GALXONE	ship	excellent	d36a007ec11ba57c1c5e9587a0d4998495337783ce8539256280ca33e0ab44bf
120725115905	TMRS	spacesuit	faulty	47e6062c1d70ac2032de7d2d8e592dbac52f1a0788913556497b5129b04da6df
120725115905	UNKN	unknown	unknown	unknown
120725115905	UNKN	unknown	unknown	unknown
120725115905	GALXONE	satellite	unknown	fa31a07691885a52e56fe007a955867d8698191b2fe79ff429fd0a11bfaf5b2d
120725115905	TMRS	vehicle	warning	bcfacadcdd473b8b64b1b0d07c1d8d6fb0919d05f7b89063d6335c0fe8a1b9ff
120725115905	UNKN	unknown	unknown	unknown
120725115905	UNKN	unknown	unknown	unknown
120725115905	CLNM	ship	faulty	8684b4450b5ac84ad8fd2b418720ed2102bbdd0aad743f27d63deef8b55b2c36
120725115905	TMRS	ship	warning	8912f18f9259c445bcd18eb9150cdc2714641c38e755eaa1d4851d77847e6ed8
120725115905	CLNM	ship	unknown	b2976b6b97714a32ea0e8ec63932e7e589056c1f11e4b03e67b5ecea414c7437
120725115905	CLNM	ship	excellent	132daccde0e3062f52ac4c993268b38d2ba9ab721a6c92bca30b5cbf7f110d7e
120725115905	UNKN	unknown	unknown	unknown
120725115905	TMRS	vehicle	unknown	a438b5937dea69e1a61310e676180b433d04df5c1cef35f2c7c1e17981e758e0
120725115905	UNKN	unknown	unknown	unknown
120725115905	CLNM	satellite	good	a077428f5ca87ca826db2dc43d0667780204d5c4d08a75947cf8ca3cfc9b469d
120725115905	ORBONE	spacesuit	excellent	776f08287feac43a128fe3a0a9afe784257d9fb1d35c75be2a546ab4904000db
120725115905	GALXONE	ship	excellent	d36a007ec11ba57c1c5e9587a0d4998495337783ce8539256280ca33e0ab44bf
120725115905	UNKN	unknown	unknown	unknown
120725115905	GALXONE	ship	faulty	5b0b97258523970bb881341c4bcd477dce48a37a41908f728d4a02e499780092
120725115905	TMRS	spacesuit	killed	cf8e2c273b0e819d24fb9b777068c0c74e685b5da4b52132b581e24774fdc513
120725115905	ORBONE	satellite	good	b5bb19088c2bc527bc358f36c53bc62fb93c6a54470928007cd2a60d1bd9210d
120725115905	TMRS	ship	excellent	a54f8d753cddea0c99d3dc9c9a08348f034b6518eb69604a3540c26ca1429aa3
120725115905	TMRS	spacesuit	killed	cf8e2c273b0e819d24fb9b777068c0c74e685b5da4b52132b581e24774fdc513
120725115905	CLNM	vehicle	killed	6f3dd3b59983b277083268a34286e084fb471537059f45144e865011f9687629
120725115905	ORBONE	vehicle	killed	60f37592a1c432063447b034cfa31132322fec8796c98cd9c10f24210452272f
120725115904	UNKN	unknown	unknown	unknown
120725115905	GALXONE	vehicle	faulty	632b271f8b60b711f8db53aab1ffeafb6dab336f2fd558d0ed6fc97d751e38a4
120725115905	UNKN	unknown	unknown	unknown
120725115905	CLNM	spacesuit	unknown	d155f6e089adbbf71e42088650271b561790153f7e6c1b608109588e0dc8434c
120725115905	ORBONE	satellite	good	b5bb19088c2bc527bc358f36c53bc62fb93c6a54470928007cd2a60d1bd9210d
120725115905	CLNM	vehicle	killed	6f3dd3b59983b277083268a34286e084fb471537059f45144e865011f9687629
120725115904	GALXONE	ship	excellent	e3fb69073d00282160e1880032b1fc6f4d5db4d7d3c86bf1067f18f979e49927
120725115905	UNKN	unknown	unknown	unknown
120725115905	CLNM	spacesuit	killed	dbc7421319b577d95afe4f9abf0e2d09ea9694809101e5fa07564f8305b8081f
120725115905	ORBONE	ship	faulty	81c7c4913b280f0212462fa0fb2e0a8b5709b8b3948d09e4655e3197cc9f5177
120725115904	ORBONE	spacesuit	killed	e7b6e3e5e2b526ce110a01be380cc7be5e10c965bf81a30c59ab75f37d93eb69
120725115905	UNKN	unknown	unknown	unknown
120725115905	UNKN	unknown	unknown	unknown
120725115904	GALXONE	vehicle	good	09e40c5642ea63cde704a7b248f4103f2563212044fc5abdb82c3af9da26ae72
120725115905	GALXONE	vehicle	excellent	da6dcab76886e50f6253eda34d60acb6dbca45f034ab96e390479d95335957d5
120725115905	TMRS	vehicle	killed	a8f8312bea1ecc5a30bb0b2fd6635d6b407a54bc482c18d6cdf6eaa0b5f5e339
120725115905	CLNM	satellite	unknown	fb4ed8ebfaaff10a56a9dcf1151d43a2973d49d02b74ff20c0954e48111d9b39
120725115905	ORBONE	vehicle	excellent	a4a9e3c886be551834b52237afbdaa93abcbabce2deca13395f3405b2e84c1ab
120725115905	CLNM	ship	excellent	132daccde0e3062f52ac4c993268b38d2ba9ab721a6c92bca30b5cbf7f110d7e
120725115905	ORBONE	vehicle	unknown	ea1d5606f83942921d8543caf5dab66f5f209f9c045ac6323f720a971489d493
120725115904	TMRS	ship	good	3bf7d976d8190ca34be768c622455661e0baec1f0c48859a29f799875dfdeb9e
120725115905	TMRS	ship	faulty	5d8bc90fe06cdc8de3a65b48b78442c2dc2f6c889d68b199d3d054b9fa51bdd5
120725115904	UNKN	unknown	unknown	unknown
120725115905	ORBONE	ship	good	a8654277895c4e77437d87cc58ab907d62b5eba9fc408ec644f5119cd97bf6a4
120725115905	CLNM	spacesuit	unknown	d155f6e089adbbf71e42088650271b561790153f7e6c1b608109588e0dc8434c
120725115905	GALXONE	ship	good	b370d4263c4589fe528454667d6c0ad1b6469e3a1494f0d11b548c76e3a8cc58
120725115905	ORBONE	vehicle	warning	b8fd2fb23e556b070c263a247e64ebd746b357a479e1ad4df8d44f60d5fbfcd3
120725115904	UNKN	unknown	unknown	unknown
120725115905	ORBONE	ship	excellent	30cde83c4b80618c531a81a3607ccaa638630fbf3bb17cd7bfa90f84dbd39623
120725115905	TMRS	vehicle	unknown	a438b5937dea69e1a61310e676180b433d04df5c1cef35f2c7c1e17981e758e0
120725115905	GALXONE	vehicle	unknown	028e7121587e3a8c4d4ae4a3f9a8ecd7948a47cedd5a8061d1127029e79e4050
120725115904	GALXONE	vehicle	unknown	65a44b92b07326678e366e7e410cd2ffa3e40657900c8abcd3a0fae2871b10c3
120725115905	CLNM	ship	faulty	8684b4450b5ac84ad8fd2b418720ed2102bbdd0aad743f27d63deef8b55b2c36
120725115905	ORBONE	satellite	killed	9a9d04ca72aa9407d62d19313c4c7b7c0b04b9ee49044d07e0e175be7d31eca5
120725115905	TMRS	ship	unknown	40b5b50104e353baadff7d8dd7f85dc7fdde4b775ac057975cae486d11c0a011
120725115905	GALXONE	ship	warning	9bdc914becaf6085cebce159f2466239bc41c3d261cbc7195c94b26ce98a332f
120725115905	TMRS	ship	excellent	a54f8d753cddea0c99d3dc9c9a08348f034b6518eb69604a3540c26ca1429aa3
120725115905	UNKN	unknown	unknown	unknown
120725115905	UNKN	unknown	unknown	unknown
120725115905	CLNM	vehicle	killed	6f3dd3b59983b277083268a34286e084fb471537059f45144e865011f9687629
120725115905	UNKN	unknown	unknown	unknown
120725115905	CLNM	ship	unknown	b2976b6b97714a32ea0e8ec63932e7e589056c1f11e4b03e67b5ecea414c7437
120725115905	TMRS	satellite	faulty	32d2f1becd5b93244b3d4787bfc3eb7c562c51c11de94d160b7ac7ed4a53ab4c
120725115905	UNKN	unknown	unknown	unknown
120725120226	TMRS	satellite	good	91c7315f4e85545ca6263b1991d4de71d6f9dc8d04b679dc2e02599f51023405
120725120226	GALXONE	vehicle	faulty	d301e307d54454886f4cd6970babe3796f8b6645c222482d4ca2c17e167eb1ad
120725120226	ORBONE	spacesuit	good	ef9d07b89fdcfac6b2b013dcc1682df2ba3c3a86683802910c2c620a7779b69e
120725120226	TMRS	spacesuit	good	55bb6bf7236c4a36538619ef0583b5a413ad7b2e2215ee5a49ff2858bb359f1b
120725120226	CLNM	spacesuit	good	6fff74b7a436602a79803582ab8e2ce9a344fe6bce603d6ab64fb1e05281d36b
120725120226	UNKN	unknown	unknown	unknown
120725120226	CLNM	satellite	unknown	560ad833d9b9fb8309f779f96d379236b97023af291369028c63d141fbf61ed2
120725120226	GALXONE	vehicle	faulty	d301e307d54454886f4cd6970babe3796f8b6645c222482d4ca2c17e167eb1ad
120725120226	CLNM	vehicle	good	344e4bbbf4908e582347797747d2dda6526e0b927df6ce1084ebd02f5d7549b2
120725120226	CLNM	ship	unknown	ca471d5d5bdc979a687a6083fc5070759e1d07405fea7f2364fbe73493466265
120725120226	TMRS	spacesuit	faulty	f2093d792ced4f43ea31dc3b043f3ec9e826f5a43647f6723892f4994f26df76
120725120226	UNKN	unknown	unknown	unknown
120725120226	ORBONE	spacesuit	warning	b128efc89f44e6069343ca844ff93e7696abb18b6a1b2078a96e75c951d58892
120725120226	TMRS	ship	faulty	7dc7103dc1401349ab43d3d07b22304710c193f851da731504532b527b4d921c
120725120226	GALXONE	satellite	excellent	32535d42bb4bee1d19a4f3534b70b370906778ade3dc2e9ea9c3816fe018ad49
120725120226	GALXONE	ship	killed	f1986805d407583fe8f786f5e67f38a2f44f0233ac206c9afc7d4663a978f3ce
120725120226	TMRS	ship	excellent	0e22bc8c7b9d1cd271d9f532e34d00116563b97fe20aa20818af02a06b44e771
120725120226	CLNM	spacesuit	excellent	4f68b4b8e79b24d87107e4df5270b944b7c93d0059129b2ab25f6bd9c9996235
120725120226	TMRS	ship	excellent	0e22bc8c7b9d1cd271d9f532e34d00116563b97fe20aa20818af02a06b44e771
120725120226	ORBONE	spacesuit	unknown	d0fa9aef194189a4adea0410b466bd1257c3ca18f119ccba638fc9ae75612a49
120725120226	TMRS	vehicle	excellent	cf468bc8321f7199f0a2b7fedb7788d28dbeebfb7d266ae06dd28f75028e8463
120725120226	TMRS	spacesuit	faulty	f2093d792ced4f43ea31dc3b043f3ec9e826f5a43647f6723892f4994f26df76
120725120226	ORBONE	ship	warning	c5664e2d46d30ee4e6011b751a49a88ffea87f9cd0c533e4f4dcddc0226dd2eb
120725120226	TMRS	satellite	faulty	32eebe8359196e848c10747848a52d628e312acb1db8589d306894964ea0115d
120725120226	ORBONE	vehicle	faulty	7584e729345c92f8303ddf84b4c801162786fa7f7e0db9d08719da9f5ee07b47
120725120226	GALXONE	vehicle	excellent	57cf2cfafac5ff6e3ccf205512af09b9a7608287dfe4ee354a74bd39b285df7e
120725120226	CLNM	ship	faulty	693a63ad57f09d5f15691e1f4ee2a5e4ae26c8dff4d2a2b7d12f0d3daf364290
120725120226	UNKN	unknown	unknown	unknown
120725120226	CLNM	ship	excellent	df656255cd1850706f7d14976144da0eff37ba833b50fa0b916f12bc8da5ec78
120725120226	GALXONE	ship	faulty	ac39494eb0c1659e84c52e569617df4e337fdc114e490b626db1591cc60a1160
120725120226	TMRS	ship	killed	1c6f9c9f058bfb0873ead5bddf55954b52c9c494e1004e3dc42ce761f5a799ae
120725120226	CLNM	vehicle	good	344e4bbbf4908e582347797747d2dda6526e0b927df6ce1084ebd02f5d7549b2
120725120226	ORBONE	satellite	killed	b156a903fa8fcb1d1c6c38b7fcd187fe5760d501904a6b3852b3b0fab1ba2e03
120725120226	CLNM	satellite	excellent	e6c28c72ac1b39cbc5e36985c4e664a6f8b7d91bb13e82a9c260b0dc7f2050fe
120725120226	CLNM	spacesuit	excellent	4f68b4b8e79b24d87107e4df5270b944b7c93d0059129b2ab25f6bd9c9996235
120725120226	UNKN	unknown	unknown	unknown
120725120226	ORBONE	ship	killed	d06bc620cc790fe1809e52a9c20f537d325e6858c9c3a963a6da3ec238f92fc3
120725120226	TMRS	ship	faulty	7dc7103dc1401349ab43d3d07b22304710c193f851da731504532b527b4d921c
120725120226	ORBONE	satellite	warning	809405514ec12e05baf557752d39c2f6fe8b43b38897544f2462086413c759d3
120725120226	TMRS	spacesuit	faulty	f2093d792ced4f43ea31dc3b043f3ec9e826f5a43647f6723892f4994f26df76
120725120226	ORBONE	satellite	faulty	54f08d95297892936f893ade6b5d0a5c99e0d746ec76cb1c64ebd4df1c126530
120725120226	TMRS	spacesuit	killed	2f83981c3193a2b7e70b8d2621c593e08fa5b377b8e0ecaab2bb5b4b94fc6b69
120725120226	TMRS	spacesuit	warning	6b80fc4773ce02edfc4b9cb6e958e4395c4ef8a86085394881d6cd21ce244873
120725120226	CLNM	ship	faulty	693a63ad57f09d5f15691e1f4ee2a5e4ae26c8dff4d2a2b7d12f0d3daf364290
120725120226	GALXONE	spacesuit	good	e60f7bcf01a9db0210645082a6e8d59626261c9f2765904ae8d8edb337905f0c
120725120226	GALXONE	satellite	faulty	8e2fe1dfbe546e280e7485abc1bd8941ecc5e02ae71cfb2dce389378394fd3ac
120725120226	TMRS	satellite	excellent	35447067d7657b033d4ec3cdbc23c98fc7e7a4e213195d23ed382027b185d79a
120725120226	CLNM	spacesuit	faulty	65a3bee10f9cae27491cec5e127faa093c0ae08623201332d4a787d35be9983b
120725120226	ORBONE	ship	unknown	866898bef919e048f32105f070d5487eb303ba61f47b02e578ef58aa92ba5c71
120725120226	CLNM	satellite	excellent	e6c28c72ac1b39cbc5e36985c4e664a6f8b7d91bb13e82a9c260b0dc7f2050fe
120725120226	ORBONE	ship	killed	d06bc620cc790fe1809e52a9c20f537d325e6858c9c3a963a6da3ec238f92fc3
120725120226	TMRS	satellite	unknown	e35b55f065cfa642f91134fc12bc3354b77154858d1b87dfd3aa8fff92893a24
120725120226	TMRS	vehicle	good	10bf96b9a760abd911437570eae41a9040bc8c5cd9a18041cb44c4d703337f0f
120725120226	CLNM	vehicle	good	344e4bbbf4908e582347797747d2dda6526e0b927df6ce1084ebd02f5d7549b2
120725120226	GALXONE	satellite	good	f71e95f7bce64c8cd0659a0e0502ac929203ec85b688530c473c741a44a9eb62
120725120226	UNKN	unknown	unknown	unknown
120725120226	CLNM	satellite	excellent	e6c28c72ac1b39cbc5e36985c4e664a6f8b7d91bb13e82a9c260b0dc7f2050fe
120725120226	TMRS	spacesuit	killed	2f83981c3193a2b7e70b8d2621c593e08fa5b377b8e0ecaab2bb5b4b94fc6b69
120725120226	UNKN	unknown	unknown	unknown
120725120226	ORBONE	spacesuit	excellent	b9de34044d0d3b976eaa344b1e61f0b1d9b821fd00adcfb7dd07e10593208a8b
120725120226	GALXONE	spacesuit	excellent	28c1c292466c01c6516355c8d894be9675a54242f3f8bc8de253fa75ab3ce6ba
120725120226	UNKN	unknown	unknown	unknown
120725120226	CLNM	satellite	warning	13e5ad36eee44bb6fbabdf8c2875b089d250400b1e223bdd9c4dc1ccaa25ea48
120725120226	CLNM	ship	unknown	ca471d5d5bdc979a687a6083fc5070759e1d07405fea7f2364fbe73493466265
120725120226	CLNM	vehicle	faulty	141652337bc1416469ac764bbf014e9f4623badc18c1cde8e649a49f0ad26a9e
120725120226	ORBONE	satellite	unknown	76eefd86201873c8144f1c12fe00133d2e01172f3c16b11beddca3e044a43a75
