date;mission;device_type;device_status;hash
280725171901;CLNM;vehicle;good;34ba08f24eb7f9f3a14f7334f619dc9791c8956b81104dfec33a29f90f946fdc
280725171901;CLNM;spacesuit;unknown;47c1d8ba4832a6f494f7c1fdcd8ec84ce5f3d6be18e02c12780068e0258878eb
280725171901;CLNM;spacesuit;faulty;cf9cfbbe6cf596a9613a6616a91970a4ab7e0f9ec9139518dfda83b7b9d0909f
280725171901;CLNM;satellite;good;9f9fdd6b3835e5b15d05bb54b7db485095a29684004e8f8c9e7df2b64980119e
280725171902;CLNM;satellite;killed;7b73fa2c43079282ef0194e39891d8d7aa6891a8e6765f45a6dc33b29ac904b1
280725171901;CLNM;spacesuit;unknown;47c1d8ba4832a6f494f7c1fdcd8ec84ce5f3d6be18e02c12780068e0258878eb
280725171901;GALXONE;satellite;excellent;7ee3acbedc1f7cbc590b0b88f15d1465f6c31d005db336391e64fe5c7f794f47
280725171901;GALXONE;spacesuit;killed;035c3515b1f924ec386a21b6f862c8ea2c82c3ca61a5cf567a076550e94006a6
280725171902;GALXONE;spacesuit;excellent;994a8b35ce46a19296ab2d5b3e55031a46f15e8ccc96994ab821d3f93dcae3ef
280725171901;ORBONE;vehicle;excellent;2fa74fe7279c76fa0f05f8d17f67bb6529b355610a93fb070f86c1cecbf5ba80
280725171901;ORBONE;vehicle;excellent;2fa74fe7279c76fa0f05f8d17f67bb6529b355610a93fb070f86c1cecbf5ba80
280725171901;TMRS;vehicle;excellent;46ada5998f9cd1625ebf7d381b0d06f529a59fb6beafc59050142c14bf638ff6
280725171902;TMRS;spacesuit;excellent;d88e5ec6e561bff12656fc115f5a793653e8fde8af02bff6ac228402561a7c28
280725171902;TMRS;vehicle;warning;986d90be8ec08274a8d682e8e63e48db0d3d9fd332d9b00a2a9b790d759d1a95
280725171901;TMRS;ship;killed;d26c4c63d11783c37161a07e2a71664232922047e4b36e9c62bdb7afe63fa520
280725171901;TMRS;ship;unknown;cc1eadf2417fac0edfb10decada78bf5d2494c45d1c94f5982ff1d162dacdc79
280725171901;UNKN;unknown;unknown;unknown
280725171902;UNKN;unknown;unknown;unknown
280725171901;UNKN;unknown;unknown;unknown
280725171902;UNKN;unknown;unknown;unknown
