date;mission;device_type;device_status;hash
280725171901;CLNM;spacesuit;faulty;cf9cfbbe6cf596a9613a6616a91970a4ab7e0f9ec9139518dfda83b7b9d0909f
280725172002;CLNM;satellite;faulty;a7595c339aac485c21767f8359c9256cb980bb6c318c63a36c994d1fa3b9e808
280725172002;GALXONE;satellite;faulty;0c3ec1a9da8395789f87761464f31b3ac541b983935d9242dcf56bc7bf5df3a9
280725172002;ORBONE;vehicle;faulty;978740b34f63727c8c35963915aaa396441506433c783b98db239d742c8f403f
280725172001;ORBONE;satellite;faulty;78d3ae09f654b850fd341139e54557ddc45500bde65c39ea32987d525892c172
280725172002;ORBONE;ship;faulty;5ad7f774d83262b2c901eaedf0e8cc1c40f1fd9e1f5770bd682f2f494166c085
280725172002;TMRS;satellite;faulty;e09e5f56b8f8079b2b6509f784b9c0e3a5e408b2d9a3183f88f1ccd1a9156add
280725172001;TMRS;vehicle;faulty;51a2894eb086dabd7391c8e5f9db84cc381b56ac3a228a97c53772b3f5057b11
280725172102;CLNM;ship;faulty;8d755c86f2cad119e2b8329f2675115c7875b5e262b00924c2a61d239f2077e9
280725172102;CLNM;satellite;faulty;1c71629b1afe363dd3d7becfee57ba48e2940b80e5a418faba8429868da14337
280725172102;GALXONE;vehicle;faulty;d70aab54c429ec6145bab3499780bed1dc5a62a7b18563e98df491d4229bcd3f
280725172102;GALXONE;vehicle;faulty;d70aab54c429ec6145bab3499780bed1dc5a62a7b18563e98df491d4229bcd3f
280725172102;GALXONE;vehicle;faulty;d70aab54c429ec6145bab3499780bed1dc5a62a7b18563e98df491d4229bcd3f
280725172102;GALXONE;vehicle;faulty;d70aab54c429ec6145bab3499780bed1dc5a62a7b18563e98df491d4229bcd3f
280725172102;ORBONE;satellite;faulty;a183095f734d5468fb260fa7fdc9523f2976f5984415517fc53b82d921717a25
280725172102;ORBONE;satellite;faulty;a183095f734d5468fb260fa7fdc9523f2976f5984415517fc53b82d921717a25
280725172102;ORBONE;spacesuit;faulty;fb8b94d1ef525cf414624579c1710c7c1955ffa83f805d80cdb92497efeaed18
280725172102;ORBONE;spacesuit;faulty;fb8b94d1ef525cf414624579c1710c7c1955ffa83f805d80cdb92497efeaed18
280725172102;TMRS;satellite;faulty;d5f207e77bda8ff6d02cbb18bbf432a2f5b9070409cc312d9a9073b735fd2b40
280725172102;TMRS;ship;faulty;838644f4050580c0194f5842a27f349577f1c5584976cb1b5f280a4ff9197783
280725172102;TMRS;ship;faulty;838644f4050580c0194f5842a27f349577f1c5584976cb1b5f280a4ff9197783
280725172102;TMRS;spacesuit;faulty;0b7e12fa7d35a1b711246f142df352e11f832f4185239436c38753ee8cf9f584
280725172201;CLNM;ship;faulty;8a1cfcbeba3b50a841c6859d61c416b4a1e91fb7ee1fb39a95fd35a1d9ef36fb
280725172201;CLNM;spacesuit;faulty;9f8f7f9c7f5dbc016f839eb609f66f6f385181073b3823a1164a890a79e666fc
280725172201;ORBONE;satellite;faulty;cbc3607a5c22d1eb6964b3c038203235285411ee8fb07c4186798a4217f4122e
280725172301;CLNM;spacesuit;faulty;f29528b71e994462e6650d48e76382c0b56f79dfa909f96731843fda7862c549
280725172301;CLNM;vehicle;faulty;c0bf550d43379e240c3eabf862303f462ccde6cab8dafc265168c513b307f046
280725172302;GALXONE;vehicle;faulty;895a83fa53f704998c7d31247ad545c681857b8d64c91ab481d53e0bfc44f22b
280725172301;ORBONE;vehicle;faulty;6913ecc1c680a97ec4fe13afe4bc33babda914dabfeec0b5795774d76348273b
280725172302;ORBONE;vehicle;faulty;cb59d7b992408b2c132f2d206a795085ef3e7ca2544d029214322b4b41e94a1a
280725172302;ORBONE;spacesuit;faulty;f13371718301f323c7b307d95add046deb9009cd1c36b0a8031c7db7a97e2cc5
280725172302;TMRS;spacesuit;faulty;b1079211a92ecedc6794920ae992b096a24bb294bbeaacf8cedc858391cf88e6
280725172302;TMRS;ship;faulty;241d8889020a97ed3f6267621664ca6d6aed51b91ffd984352ca36b782021203
280725172302;TMRS;ship;faulty;241d8889020a97ed3f6267621664ca6d6aed51b91ffd984352ca36b782021203
280725172401;CLNM;ship;faulty;00d45c7c7290c677d3df04b2eeb4f5d22c892f6cda91482ac97efe033d4f93c7
280725172501;TMRS;vehicle;faulty;22b45abff569c555381aa4730bec4d30982638d4e5fdcf77d7b173d80a01f9d4
280725172601;ORBONE;vehicle;faulty;6059de28d9558f40eaaaf66d66029b1e2fdecbb16ed5ae87a08a2b67d9b3992e
280725172601;TMRS;satellite;faulty;3f7ba5090d93e0674703fc6696f660b7e55eb3207cd8294df5b252f45eb0a42f
280725172701;CLNM;satellite;faulty;9257918064cb58697ab8095d6fcdb28d6fbfdb515721cee3ea0ed325361a684b
280725172701;GALXONE;ship;faulty;2358fd89fca6f2441e6324aab6b77db1afa19abad4219e19dd0c8bf279f1f9b9
280725172701;GALXONE;ship;faulty;2358fd89fca6f2441e6324aab6b77db1afa19abad4219e19dd0c8bf279f1f9b9
280725172701;GALXONE;vehicle;faulty;aea83782194b29060dc521184a843c62742f1d452d0e1349051001a499d5f6ad
280725172701;GALXONE;spacesuit;faulty;f76e7ba812918025053a65892f992d0bee0cda06b29747ed0c2a529157f738df
280725172701;ORBONE;satellite;faulty;364c77063280a25c4157d8bb551fdf58a9c80a14160776119680d7f8bbe351ab
280725172702;ORBONE;spacesuit;faulty;8ea90f7c1b040c90625ac53a91f218c88a7ffdc4a8700ee07f7388091e837cb5
280725172701;ORBONE;vehicle;faulty;3e9df72a24a6d1e866ea4a3f854adf63b81b4cb687145a8deb8532e9016a8385
280725172701;ORBONE;spacesuit;faulty;f9749ade8ab37a968a13a19df8fe79bd7bbc13b02eacbccd72cc3ebafc4a1206
280725172702;TMRS;vehicle;faulty;324e5d00b4549123ffacada3e51fa007c9cd0f8f17c119fdabf365ace6eb712c
280725172701;TMRS;vehicle;faulty;4a0641d908dbe06fc0314215821d2366c35f73b36d64fdfb64c5cf5c679d8208
280725172702;TMRS;vehicle;faulty;324e5d00b4549123ffacada3e51fa007c9cd0f8f17c119fdabf365ace6eb712c
280725172702;TMRS;ship;faulty;702339cee82480231e08aaca3251a8803cca52376dc85d7ae220d3992a496f3c
280725172701;TMRS;vehicle;faulty;4a0641d908dbe06fc0314215821d2366c35f73b36d64fdfb64c5cf5c679d8208
280725172901;CLNM;satellite;faulty;73d8f81124ac0b4f831afc844f96f8e0440abced68c5b66ba32f906a6c8a0008
280725172901;CLNM;ship;faulty;4ce155cd9fb7b1cdf2d6bb1f6a896e20e06820b0793ca977b3db950dd587afea
280725172901;CLNM;satellite;faulty;73d8f81124ac0b4f831afc844f96f8e0440abced68c5b66ba32f906a6c8a0008
280725172901;CLNM;satellite;faulty;73d8f81124ac0b4f831afc844f96f8e0440abced68c5b66ba32f906a6c8a0008
280725172901;GALXONE;spacesuit;faulty;055594a5368332b05e02870d9e06db5c3fa86be53a98547ea4ddac86c6fefa35
280725172901;ORBONE;ship;faulty;16894cef8efbe7ef43586202d738fb739c1eed2f0aedf8ae09f5a24f2ea056ee
280725172901;ORBONE;ship;faulty;16894cef8efbe7ef43586202d738fb739c1eed2f0aedf8ae09f5a24f2ea056ee
280725172901;TMRS;spacesuit;faulty;b8020fe1dabc23d9bcc99ec0087f53b450e665bbe1c5da8857e486dcb961997d
